"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"R-HSA-1428517","R-HSA-1428517","Aerobic respiration and respiratory electron transport",161,0.507377502255161,2.33718087287789,1e-10,1.417e-07,1.417e-07,3128,"tags=59%, list=29%, signal=42%","COX17/NDUFS2/DLST/LDHA/SUCLG2/LDHC/HIGD2A/GLO1/ATP5MF/UQCRC1/COX8A/COX6A1/MDH1/NDUFC1/ETFDH/SDHAF2/UBC/MPC1/ATP5PB/MAEA/ATP5F1B/ATP5MC2/SLC25A22/SDHD/FH/VDAC1/CS/HIGD1A/NDUFB3/NDUFA5/GSTZ1/PC/NDUFA9/NDUFC2/ATP5MK/COX5B/ATP5F1C/KGD4/NDUFB1/PDK1/NDUFB5/CYCS/SDHB/NDUFA8/GOT1/NDUFB4/SDHC/PDHX/ATP5MC3/SURF1/COX18/NDUFS1/COX7C/UQCRH/MDH2/PGAM5/SIRT4/COX16/UQCRB/ISCU/CYC1/COX6C/NDUFS8/RPS27A/ACAT1/UQCRQ/TMEM177/SIRT3/MKLN1/OGDH/NDUFS4/COX7A2/COX20/NDUFB9/COX15/NDUFA2/NDUFB2/SUCLG1/TMEM126A/CMC1/NDUFB6/ISCA2/COX7A2L/NDUFS3/SLC25A13/ISCA1/COX14/ME1/SUCLA2/DMAC1/NDUFS5/SDHAF4/NDUFA10/FXN/NDUFAF2",NA
"R-HSA-611105","R-HSA-611105","Respiratory electron transport",94,0.558058523184129,2.38884052082186,1.4468541003566e-08,1.02509613010265e-05,1.02509613010265e-05,3128,"tags=62%, list=29%, signal=44%","COX17/NDUFS2/HIGD2A/UQCRC1/COX8A/COX6A1/MDH1/NDUFC1/ETFDH/SLC25A22/SDHD/HIGD1A/NDUFB3/NDUFA5/NDUFA9/NDUFC2/COX5B/NDUFB1/NDUFB5/CYCS/SDHB/NDUFA8/GOT1/NDUFB4/SDHC/SURF1/COX18/NDUFS1/COX7C/UQCRH/MDH2/COX16/UQCRB/ISCU/CYC1/COX6C/NDUFS8/UQCRQ/TMEM177/NDUFS4/COX7A2/COX20/NDUFB9/COX15/NDUFA2/NDUFB2/TMEM126A/CMC1/NDUFB6/COX7A2L/NDUFS3/SLC25A13/COX14/DMAC1/NDUFS5/NDUFA10/FXN/NDUFAF2",0.747739663149885
"R-HSA-9609507","R-HSA-9609507","Protein localization",104,0.512214558515872,2.2121280457609,5.14613518093505e-08,2.43069118379499e-05,2.43069118379499e-05,3140,"tags=52%, list=29%, signal=37%","DHRS4/COX17/PEX6/IDH1/CHCHD2/SEC61G/COQ2/PHYH/DDO/SEC61B/UBC/ATP5F1B/EHHADH/VDAC1/CS/ACOT4/SCP2/ACOT2/ECI2/CRAT/ACAA1/PITRM1/CHCHD5/SERP1/TIMM10B/CAT/PEX13/EPHX2/PXMP2/AGPS/GRPEL1/CROT/COA4/AMACR/CYC1/ACOX2/PEX7/RPS27A/GSTK1/GRPEL2/TIMM10/UBE2D2/ABCD3/CHCHD3/TOMM6/GET4/TOMM5/TOMM20/SLC25A13/GDAP1/TIMM23/PEX11B/FXN/TIMM9",0.719512826338911
"R-HSA-9033241","R-HSA-9033241","Peroxisomal protein import",42,0.635530860859678,2.29296896443416,3.07524300606081e-06,0.00108940483489704,0.00108940483489704,2266,"tags=55%, list=21%, signal=43%","DHRS4/PEX6/IDH1/PHYH/DDO/UBC/EHHADH/ACOT4/SCP2/ACOT2/ECI2/CRAT/ACAA1/CAT/PEX13/EPHX2/AGPS/CROT/AMACR/ACOX2/PEX7/RPS27A/GSTK1",0.627256739718528
"R-HSA-446203","R-HSA-446203","Asparagine N-linked glycosylation",215,0.365370339858053,1.71979350280251,7.61079897473036e-06,0.00215690042943858,0.00215690042943858,2158,"tags=37%, list=20%, signal=30%","GANAB/NEU4/RNF5/YKT6/NEU1/ARF5/RNF103/RAB1B/SEC24D/NANS/ARF4/CMAS/SLC17A5/OSTC/SAR1B/RAB1A/DYNLL1/SEL1L/COG6/GFPT1/COPG1/SYVN1/BET1L/SEC13/COPG2/AREG/SPTBN2/SEC23A/OS9/UBC/ARCN1/KDELR2/STT3A/MGAT4B/ST6GALNAC4/TMED7/SLC35C1/UAP1/TUBB2A/MAN2A1/RPN1/TMED10/RAD23B/USO1/SEC24A/EDEM3/TMEM115/COG3/COPA/B4GALT1/SEC22B/SERPINA1/GMPPA/ALG14/ALG5/COG5/ALG8/ARF1/DOLK/OST4/EDEM1/COPB2/GMDS/TFG/SLC35A1/GOLGB1/MGAT1/LMAN2L/CNIH1/GBF1/PGM3/TMED9/MGAT4A/NUS1/TUBB4B/ALG9/BET1/SEC31A/DAD1/MAN1A1",0.610526878385931
"R-HSA-1989781","R-HSA-1989781","PPARA activates gene expression",77,0.480399333055847,1.98155054636453,3.48335683090328e-05,0.00619529448260091,0.00619529448260091,2129,"tags=38%, list=20%, signal=30%","HMGCS2/RXRB/FDFT1/TNFRSF21/FABP1/G0S2/MED30/CPT1A/ALAS1/ESRRA/NPAS2/CPT2/PLIN2/FHL2/MED18/CLOCK/HMGCS1/AHRR/PPARG/APOA1/NFYA/HMGCR/GRHL1/TXNRD1/CYP4A11/RXRA/MED20/MED21/ACADM",0.557332238758646
"R-HSA-400206","R-HSA-400206","Regulation of lipid metabolism by PPARalpha",77,0.480399333055847,1.98155054636453,3.48335683090328e-05,0.00619529448260091,0.00619529448260091,2129,"tags=38%, list=20%, signal=30%","HMGCS2/RXRB/FDFT1/TNFRSF21/FABP1/G0S2/MED30/CPT1A/ALAS1/ESRRA/NPAS2/CPT2/PLIN2/FHL2/MED18/CLOCK/HMGCS1/AHRR/PPARG/APOA1/NFYA/HMGCR/GRHL1/TXNRD1/CYP4A11/RXRA/MED20/MED21/ACADM",0.557332238758646
"R-HSA-8978868","R-HSA-8978868","Fatty acid metabolism",110,0.43199938925713,1.86118875303479,3.49769624988054e-05,0.00619529448260091,0.00619529448260091,2474,"tags=45%, list=23%, signal=35%","PON2/ACOT1/ACSL5/PTGES/CPT1A/HADH/ELOVL6/HADHB/PHYH/PTGS2/PON1/AKR1C3/CPT2/ELOVL1/PRXL2B/PPARD/EHHADH/ECHS1/HADHA/FAAH/PRKAB2/ACOT4/CYP2J2/SCP2/ACOT2/ACBD7/PCCB/ACAD11/ECI2/PPT2/CRAT/MMUT/ACAA1/ACSL3/ACSL6/EPHX2/PCCA/CYP4A11/RXRA/CROT/AMACR/SLC27A3/ACADM/HPGD/ACOX2/SLC25A20/ACOT13/MCEE/MAPKAPK2/MMAA",0.557332238758646
"R-HSA-556833","R-HSA-556833","Metabolism of lipids",470,0.275075993999427,1.45016400685605,5.61044066592979e-05,0.00883332713735835,0.00883332713735835,2419,"tags=33%, list=23%, signal=27%","AGPAT1/CSNK2B/HMGCS2/PIP4K2C/RXRB/NEU4/FDFT1/LGMN/TNFRSF21/PON2/GLB1L2/GBA1/ACOT1/ACSL5/FABP1/G0S2/PTGES/MED30/NEU1/DGAT2/CPT1A/SPTLC2/HADH/ALAS1/ELOVL6/AKR1C4/SEC24D/GPD1L/ESRRA/ETNK1/PNPLA2/HADHB/SGPL1/NPAS2/HEXB/SMPD4/PHYH/PTGS2/PON1/SAR1B/LPCAT3/AKR1C1/AGPAT2/AKR1C3/HSD17B11/CPT2/ELOVL1/PLIN2/PRXL2B/B3GALT4/SEC23A/SLC44A1/PIK3R4/CDS1/INSIG2/ABHD5/PPARD/UGT8/EHHADH/ECHS1/DHCR24/FDX1/FHL2/RAB5A/HADHA/PNPLA7/MED18/FAAH/PRKAB2/ACOT4/CLOCK/SEC24A/CYP2J2/PIK3CB/PLBD1/SCP2/DHCR7/HMGCS1/ACOT2/ACBD7/PCCB/AHRR/ACAD11/ECI2/PPARG/PPT2/DDHD2/VDR/CYP51A1/RUFY1/SELENOI/LIPH/PI4K2A/CRAT/APOA1/MMUT/ASAH2/SPTSSA/ACAA1/SLC44A4/SGMS2/ARF1/ABCG2/MSMO1/INSIG1/RAB14/ORMDL2/SLC51A/SGPP2/PCYT1A/NFYA/ACSL3/HMGCR/ACSL6/EPHX2/GRHL1/PI4K2B/GPAT3/AGPS/TXNRD1/DEGS1/STARD10/PCCA/CYP4A11/GBA3/SRD5A1/RXRA/SLC44A5/CROT/MED20/ARSB/MED21/AMACR/PLPP1/SLC27A3/PPP1CC/ACADM/HPGD/PIP5K1B/MBOAT2/ACHE/ACOX2/CDK8/ACAT1/CIDEC/SLC25A20/AKR1B15/PPP1CB/CPNE3/SYNJ2/ACOT13/MGLL/MIGA1/MCEE/SUMF1/MAPKAPK2/ACAT2",0.557332238758646
"R-HSA-9711123","R-HSA-9711123","Cellular response to chemical stress",111,0.42831928987696,1.84104791828544,9.30664503311633e-05,0.0131875160119258,0.0131875160119258,2393,"tags=41%, list=22%, signal=33%","HBB/CSNK2B/IDH1/EIF2AK3/FABP1/CDKN2A/SESN2/COX8A/COX6A1/AREG/PRDX3/UBC/SOD2/TALDO1/CDKN1A/PRKCD/PSMA5/PRDX6/EGF/COX5B/TXN/PSMC6/PGD/ABCG2/CAT/CYCS/NFE2L2/ERO1A/NOX4/DPP3/PSMD1/PSMD6/PRDX1/PSMA1/COX7C/TXNRD1/RXRA/PSMB7/PSMA6/GSR/PSMC2/COX6C/TKT/RPS27A/MAFK/PDGFA",0.538434096309916
"R-HSA-8957275","R-HSA-8957275","Post-translational protein phosphorylation",65,0.496209102012231,1.96938360745145,0.000114427210755235,0.0144615151250858,0.0144615151250858,1682,"tags=37%, list=16%, signal=31%","C4B/VGF/PCSK9/MEN1/TGOLN2/FN1/GOLM1/PNPLA2/MELTF/ENAM/FUCA2/APLP2/DNAJC3/SERPINA10/PRSS23/SCG2/SERPINA1/APOA1/TMEM132A/CKAP4/EVA1A/APOB/GAS6/C4A",0.538434096309916
"R-HSA-198933","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",62,-0.574935003466989,-1.87743364616862,0.000128122243032231,0.0144615151250858,0.0144615151250858,1741,"tags=40%, list=16%, signal=34%","CLEC2D/CD247/CD200R1/KLRD1/PILRB/CD3D/HLA-F/CD1A/SLAMF6/COL3A1/CRTAM/FCGR2B/KLRG1/CD1C/PIANP/COL2A1/NCR3/VCAM1/TREML1/SFTPD/HLA-C/HLA-E/SELL/TREML2/HLA-B",0.518848077743792
"R-HSA-500792","R-HSA-500792","GPCR ligand binding",228,-0.433465709399489,-1.63155232694278,0.00013267445068886,0.0144615151250858,0.0144615151250858,1908,"tags=34%, list=18%, signal=28%","CX3CR1/CCR6/AGT/CXCL10/GHRL/CXCL6/CXCL12/C3AR1/HTR7/ADRA2C/CASR/SCTR/FZD4/PTH1R/CXCL11/XCR1/AVPR1A/RAMP3/ACKR1/TSHR/TAS2R14/GABBR2/TAC3/CCR1/TAS2R4/ADRA1B/OXTR/GNG3/FZD8/WNT11/XCL2/HTR2B/GNB4/TAS2R19/CCR9/P2RY14/GNRH1/GPR183/ADRA2B/P2RY13/TAS2R5/TAS2R30/RLN2/PTHLH/PTCH2/VIPR2/S1PR1/PLPPR4/RXFP1/ADCYAP1R1/DHH/P2RY12/VIP/GNB3/UCN/CHRM2/PTGFR/CXCL9/WNT6/NPFFR1/GAL/ADRA1A/S1PR3/PNOC/GPR31/CCL19/HTR6/PTGER3/CCL20/CCR4/CXCR4/KEL/CCL21/CXCR5/CNR2/CNR1/CXCL13",0.518848077743792
"R-HSA-9755511","R-HSA-9755511","KEAP1-NFE2L2 pathway",71,0.484838489004164,1.97529078203113,0.000160130845217009,0.0162075291194644,0.0162075291194644,2393,"tags=44%, list=22%, signal=34%","CSNK2B/IDH1/EIF2AK3/CDKN2A/SESN2/AREG/UBC/TALDO1/CDKN1A/PRKCD/PSMA5/EGF/TXN/PSMC6/PGD/ABCG2/NFE2L2/DPP3/PSMD1/PSMD6/PRDX1/PSMA1/TXNRD1/PSMB7/PSMA6/GSR/PSMC2/TKT/RPS27A/MAFK/PDGFA",0.518848077743792
"R-HSA-71403","R-HSA-71403","Citric acid cycle (TCA cycle)",26,0.662113068410827,2.08203216185178,0.000187934923908572,0.0177535858118965,0.0177535858118965,3106,"tags=77%, list=29%, signal=55%","DLST/SUCLG2/SDHAF2/SDHD/FH/CS/KGD4/SDHB/SDHC/MDH2/ISCU/ACAT1/SIRT3/OGDH/SUCLG1/ISCA2/ISCA1/SUCLA2/SDHAF4/FXN",0.518848077743792
"R-HSA-5669034","R-HSA-5669034","TNFs bind their physiological receptors",20,-0.742603782429295,-1.91217105543005,0.000209231730273693,0.0185300851123639,0.0185300851123639,1505,"tags=60%, list=14%, signal=52%","TNFRSF18/TNFRSF25/TNFSF13B/TNFRSF4/CD27/TNFRSF8/TNFSF4/TNFSF8/EDARADD/TNFRSF9/TNFSF18/TNFSF11",0.518848077743792
"R-HSA-1268020","R-HSA-1268020","Mitochondrial protein import",41,0.554219521548096,1.98582786189987,0.000237103937902348,0.019763310588684,0.019763310588684,3140,"tags=54%, list=29%, signal=38%","COX17/CHCHD2/COQ2/ATP5F1B/VDAC1/CS/PITRM1/CHCHD5/TIMM10B/GRPEL1/COA4/CYC1/GRPEL2/TIMM10/CHCHD3/TOMM6/TOMM5/TOMM20/SLC25A13/TIMM23/FXN/TIMM9",0.518848077743792
"R-HSA-381119","R-HSA-381119","Unfolded Protein Response (UPR)",54,0.523102375863069,1.93301395827405,0.000260061083876069,0.0204725864362439,0.0204725864362439,2211,"tags=50%, list=21%, signal=40%","ATF6B/EIF2AK3/CXCL8/HYOU1/PPP2R5B/CREB3L1/GFPT1/SYVN1/DNAJC3/DNAJB9/DNAJB11/ATF3/ZBTB17/PDIA5/CREB3L2/SERP1/EDEM1/SRPRA/DDIT3/HSPA5/NFYA/YIF1A/CREB3/CTDSP2/SEC31A/PDIA6/SHC1",0.49849310876659
"R-HSA-381426","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",74,0.465392251997328,1.88993531485733,0.000328771625095637,0.0243864577409555,0.0243864577409556,1682,"tags=36%, list=16%, signal=31%","C4B/VGF/PCSK9/MEN1/IGFBP2/TGOLN2/GZMH/FN1/MMP1/GOLM1/PNPLA2/MELTF/ENAM/FUCA2/APLP2/DNAJC3/SERPINA10/PRSS23/SCG2/SERPINA1/APOA1/TMEM132A/CKAP4/EVA1A/APOB/GAS6/C4A",0.49849310876659
"R-HSA-8948216","R-HSA-8948216","Collagen chain trimerization",34,-0.644659173785414,-1.86639433356261,0.000344198415539246,0.0243864577409555,0.0243864577409556,1409,"tags=50%, list=13%, signal=44%","COL27A1/COL16A1/COL9A1/COL5A2/COL26A1/COL4A3/COL8A2/COL3A1/COL11A1/COL14A1/COL4A4/COL21A1/COL22A1/COL6A5/COL2A1/COL24A1/COL19A1",0.49849310876659
"R-HSA-9734009","R-HSA-9734009","Defective Intrinsic Pathway for Apoptosis",16,0.724638534813014,2.08369247321626,0.000446036581292572,0.0287288107132534,0.0287288107132534,2161,"tags=69%, list=20%, signal=55%","CDKN2A/CAPN1/CAPN2/FASLG/SOD2/CAST/CDC25C/FOXO3/PRDX1/JUN/LMNB1",0.49849310876659
"R-HSA-5389840","R-HSA-5389840","Mitochondrial translation elongation",65,0.465429250025125,1.84722273676736,0.00044446422119223,0.0287288107132534,0.0287288107132534,2902,"tags=46%, list=27%, signal=34%","MRPL44/MRPS33/MRPL49/MRPS24/MRPL24/MRPL23/MRPS35/MRPL36/MRPL21/KGD4/MRPL47/TSFM/MRPS2/MRPL17/GFM1/MRPL11/MRPL43/MRPS15/MRPL48/MRPS22/MRPS9/MRPL37/MRPL16/MRPS17/CHCHD1/AURKAIP1/MRPL55/MRPL51/MRPL18/MRPS18C",0.49849310876659
"R-HSA-1655829","R-HSA-1655829","Regulation of cholesterol biosynthesis by SREBP (SREBF)",38,0.554947826780695,1.95398763670439,0.000468332736954004,0.0288533690549489,0.0288533690549489,3653,"tags=68%, list=34%, signal=45%","FDFT1/ELOVL6/SEC24D/SAR1B/SEC23A/INSIG2/SEC24A/DHCR7/HMGCS1/CYP51A1/INSIG1/NFYA/HMGCR/RXRA/IDI1/SCAP/TBL1XR1/NCOA2/TM7SF2/MTF1/NFYB/PMVK/SEC24B/FDPS/ACACB/TGS1",0.49849310876659
"R-HSA-397014","R-HSA-397014","Muscle contraction",119,-0.477144452001639,-1.69745863945351,0.000489957100829412,0.0289169253071628,0.0289169253071628,1959,"tags=34%, list=18%, signal=28%","PLN/NPR2/LMOD1/TNNI2/ATP1A2/ACTN2/SCN3B/SCN2A/KCNK2/TRPC1/FXYD6/GUCY1A1/SCN4B/TPM2/KCNIP4/GUCY1A2/ORAI2/FGF14/ATP1A4/SCN7A/MYBPC3/ANXA6/TMOD1/CACNA1C/SLC8A3/DYSF/ITPR1/FXYD2/GUCY1B1/NPR1/TTN/TNNI1/ATP2B2/TNNT2/SCN11A/CASQ1/CAMK2A/TNNT3/NOS1/KCNK12/NPPC",0.477270815362862
"R-HSA-418594","R-HSA-418594","G alpha (i) signalling events",176,-0.434135895080881,-1.60955919101156,0.0005101786398582,0.0289169253071628,0.0289169253071628,2043,"tags=34%, list=19%, signal=28%","PDE1B/GNG11/RGS17/ADCY6/CX3CR1/RGS16/CCR6/AGT/CXCL10/ADCY3/CXCL6/CXCL12/C3AR1/ADRA2C/CASR/PDE4B/PRKAR2B/CXCL11/CAMK4/TAS2R14/GNAT3/GABBR2/ADCY5/CCR1/ADCY4/TAS2R4/GNG3/NBEA/GNB4/TAS2R19/CCR9/P2RY14/GPR183/ADRA2B/P2RY13/TAS2R5/TAS2R30/ITPR1/P2RY12/RGS13/GNB3/CHRM2/CXCL9/GAL/S1PR3/PNOC/RGS1/GPR31/CCL19/PTGER3/CCL20/CAMK2A/CCR4/CXCR4/CCL21/CXCR5/CNR2/CNR1/CXCL13",0.477270815362862
"R-HSA-72766","R-HSA-72766","Translation",237,0.316401607947054,1.51861020250685,0.000654678451242861,0.0356799755927359,0.0356799755927359,2957,"tags=35%, list=28%, signal=26%","CARS1/RPS26/PPA1/SEC61G/MRPL44/PARS2/EIF4EBP1/EIF4H/SEC61B/MRPS33/UBC/MRPL49/MRPS24/SRP9/SEC61A1/MRPL24/MRPL23/RPN1/MRPS35/RPLP0/MRPL36/MRPL21/PSMA5/EEF1A1/KGD4/HARS2/PSMC6/RPL36AL/EIF2B1/MRPL47/TSFM/NARS2/SRPRA/MRPS2/PSMD1/SPCS1/PSMD6/PSMA1/SSR2/ELOC/EIF3I/PSMB7/SRP19/TRAM1/EIF4E/GARS1/MTRES1/MRPL17/EIF3M/IARS1/PSMA6/PSMC2/GFM1/AIMP2/RPS27A/SPCS2/EIF3F/MRPL11/IARS2/MRPL43/MRPS15/MRPL48/MRPS22/SRP54/MRPS9/UBE2D2/ETF1/MRPL37/MRPL16/PABPC1/MRPS17/CHCHD1/AURKAIP1/RPS13/MRPL55/MRPL51/EIF3B/KLHDC10/MRPL18/MRPS18C/ASCC3/RPS25/TARS2/RPL26L1",0.477270815362862
"R-HSA-9937383","R-HSA-9937383","Mitochondrial ribosome-associated quality control",66,0.443566714389691,1.70742150759965,0.00086957244843601,0.045636450349401,0.045636450349401,2902,"tags=44%, list=27%, signal=32%","MRPL44/MRPS33/MRPL49/MRPS24/MRPL24/MRPL23/MRPS35/MRPL36/MRPL21/KGD4/MRPL47/MRPS2/MTRES1/MRPL17/MRPL11/MRPL43/MRPS15/MRPL48/MRPS22/MRPS9/MRPL37/MRPL16/MRPS17/CHCHD1/AURKAIP1/MRPL55/MRPL51/MRPL18/MRPS18C",0.477270815362862
"R-HSA-901032","R-HSA-901032","ER Quality Control Compartment (ERQC)",15,0.730147704215537,2.03723516744782,0.00100130184032929,0.0475413471574546,0.0475413471574546,1594,"tags=53%, list=15%, signal=45%","RNF5/RNF103/SEL1L/SYVN1/OS9/UBC/EDEM3/EDEM1",0.45505986738723
"R-HSA-9864848","R-HSA-9864848","Complex IV assembly",26,0.61330457370089,1.92855255148618,0.000981369733656544,0.0475413471574546,0.0475413471574546,2926,"tags=69%, list=27%, signal=50%","COX17/HIGD2A/COX8A/COX6A1/HIGD1A/COX5B/SURF1/COX18/COX7C/COX16/COX6C/TMEM177/COX7A2/COX20/COX15/CMC1/COX7A2L/COX14",0.45505986738723
"R-HSA-373076","R-HSA-373076","Class A/1 (Rhodopsin-like receptors)",164,-0.433319204980369,-1.5860998889447,0.00100652111130814,0.0475413471574546,0.0475413471574546,1908,"tags=32%, list=18%, signal=27%","CX3CR1/CCR6/AGT/CXCL10/GHRL/CXCL6/CXCL12/C3AR1/HTR7/ADRA2C/CXCL11/XCR1/AVPR1A/ACKR1/TSHR/TAC3/CCR1/ADRA1B/OXTR/XCL2/HTR2B/CCR9/P2RY14/GNRH1/GPR183/ADRA2B/P2RY13/RLN2/S1PR1/PLPPR4/RXFP1/P2RY12/CHRM2/PTGFR/CXCL9/NPFFR1/GAL/ADRA1A/S1PR3/PNOC/GPR31/CCL19/HTR6/PTGER3/CCL20/CCR4/CXCR4/KEL/CCL21/CXCR5/CNR2/CNR1/CXCL13",0.45505986738723
"R-HSA-196854","R-HSA-196854","Metabolism of vitamins and cofactors",140,0.35233204406556,1.58229539388311,0.00106475647888688,0.0486696751800874,0.0486696751800874,1888,"tags=34%, list=18%, signal=28%","TCN1/ENPP3/AGRN/COQ3/SDC1/IDH1/LRP1/AKR1C4/RETSAT/COQ2/RFK/SLC2A1/MMADHC/AKR1C1/AKR1B10/SLC52A2/RBP4/AKR1C3/MOCS1/TPK1/NT5E/LMBRD1/LRAT/PRSS3/MTRR/SPR/PTS/ALDH1L1/PCCB/PC/MCCC2/PANK3/APOA1/MMUT/PARP4/GCH1/LRP10/APOB/NADK2/NUDT8/ENPP1/COQ4/CALM1/DHFR2/HPDL/GSTO1/PCCA",0.45505986738723
"R-HSA-199977","R-HSA-199977","ER to Golgi Anterograde Transport",106,0.384809081752459,1.68249249704438,0.00111475668140588,0.0493628192985043,0.0493628192985043,2111,"tags=38%, list=20%, signal=31%","YKT6/ARF5/RAB1B/SEC24D/ARF4/SAR1B/RAB1A/DYNLL1/COG6/COPG1/BET1L/SEC13/COPG2/AREG/SPTBN2/SEC23A/ARCN1/KDELR2/TMED7/TUBB2A/TMED10/USO1/SEC24A/TMEM115/COG3/COPA/SEC22B/SERPINA1/COG5/ARF1/COPB2/TFG/GOLGB1/LMAN2L/CNIH1/GBF1/TMED9/TUBB4B/BET1/SEC31A",0.45505986738723
"R-HSA-5368286","R-HSA-5368286","Mitochondrial translation initiation",65,0.439198266434873,1.74311568012433,0.00120528033898327,0.0517540072830089,0.0517540072830089,2902,"tags=43%, list=27%, signal=32%","MRPL44/MRPS33/MRPL49/MRPS24/MRPL24/MRPL23/MRPS35/MRPL36/MRPL21/KGD4/MRPL47/MRPS2/MRPL17/MRPL11/MRPL43/MRPS15/MRPL48/MRPS22/MRPS9/MRPL37/MRPL16/MRPS17/CHCHD1/AURKAIP1/MRPL55/MRPL51/MRPL18/MRPS18C",0.45505986738723
"R-HSA-6799198","R-HSA-6799198","Complex I biogenesis",41,0.515436405545389,1.84686380643979,0.00125141165031225,0.0521544208380135,0.0521544208380135,3128,"tags=56%, list=29%, signal=40%","NDUFS2/NDUFC1/NDUFB3/NDUFA5/NDUFA9/NDUFC2/NDUFB1/NDUFB5/NDUFA8/NDUFB4/NDUFS1/NDUFS8/NDUFS4/NDUFB9/NDUFA2/NDUFB2/TMEM126A/NDUFB6/NDUFS3/DMAC1/NDUFS5/NDUFA10/NDUFAF2",0.45505986738723
"R-HSA-77289","R-HSA-77289","Mitochondrial Fatty Acid Beta-Oxidation",25,0.595481926557982,1.95478516992435,0.00147518066038045,0.0580647498821972,0.0580647498821972,2474,"tags=60%, list=23%, signal=46%","ACOT1/HADH/HADHB/ECHS1/HADHA/ACOT2/ACBD7/PCCB/ACAD11/MMUT/PCCA/ACADM/ACOT13/MCEE/MMAA",0.45505986738723
"R-HSA-6798695","R-HSA-6798695","Neutrophil degranulation",296,0.287484841225792,1.38307768714123,0.00143751279324535,0.0580647498821972,0.0580647498821972,2020,"tags=30%, list=19%, signal=25%","HSPA1B/HBB/CSNK2B/TCN1/RHOF/CDA/S100A12/PADI2/FRK/S100P/OSTF1/FTH1/PLAC8/S100A8/IDH1/LGALS3/CTSB/NEU1/DYNLT1/CYSTM1/GUSB/VAMP8/RAB6A/RNASE2/CAPN1/PIGR/PLAU/HEXB/KRT1/CAB39/HPSE/S100A9/ATP6V1D/DYNLL1/HSPA8/STBD1/AGPAT2/ACP3/CLEC12A/ABCA13/FUCA2/GNS/DNAJC3/TMBIM1/FCGR2A/S100A11/PRSS3/PRKCD/PGAM1/ANO6/PSMA5/IQGAP2/EEF1A1/PRDX6/NDUFC2/TMEM179B/RAC1/B4GALT1/GGH/SERPINA1/NRAS/HGSNAT/ACAA1/HK3/CKAP4/SLC11A1/RAB18/FCER1G/PPIA/RAB44/RHOA/CAT/PGM1/CAP1/RAB14/PSMD1/AOC1/CD58/PSMD6/SCAMP1/RHOG/LAMTOR1/DEGS1/CD63/RAB7A/NCSTN/LAMP1/PSMB7/ARSB/TUBB4B",0.45505986738723
"R-HSA-9759194","R-HSA-9759194","Nuclear events mediated by NFE2L2",55,0.469955284393853,1.78828911153048,0.00154009148094101,0.0589813413106328,0.0589813413106328,2393,"tags=45%, list=22%, signal=35%","IDH1/CDKN2A/AREG/UBC/TALDO1/PSMA5/EGF/TXN/PSMC6/PGD/ABCG2/NFE2L2/PSMD1/PSMD6/PRDX1/PSMA1/TXNRD1/PSMB7/PSMA6/GSR/PSMC2/TKT/RPS27A/MAFK/PDGFA",0.45505986738723
"R-HSA-8862803","R-HSA-8862803","Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models",15,0.712586235477792,1.98823570953264,0.00168043203961826,0.0610556974394635,0.0610556974394635,2161,"tags=67%, list=20%, signal=53%","CAPN1/CAPN2/FASLG/SOD2/CAST/CDC25C/FOXO3/PRDX1/JUN/LMNB1",0.45505986738723
"R-HSA-8863678","R-HSA-8863678","Neurodegenerative Diseases",15,0.712586235477792,1.98823570953264,0.00168043203961826,0.0610556974394635,0.0610556974394635,2161,"tags=67%, list=20%, signal=53%","CAPN1/CAPN2/FASLG/SOD2/CAST/CDC25C/FOXO3/PRDX1/JUN/LMNB1",0.45505986738723
"R-HSA-380108","R-HSA-380108","Chemokine receptors bind chemokines",36,-0.603820110275853,-1.77988350343809,0.00186170489357377,0.0643423374193668,0.0643423374193668,1908,"tags=50%, list=18%, signal=41%","CX3CR1/CCR6/CXCL10/CXCL6/CXCL12/CXCL11/XCR1/CCR1/XCL2/CCR9/CXCL9/CCL19/CCL20/CCR4/CXCR4/CCL21/CXCR5/CXCL13",0.45505986738723
"R-HSA-1650814","R-HSA-1650814","Collagen biosynthesis and modifying enzymes",54,-0.548466711512365,-1.73422776322357,0.00185552302968085,0.0643423374193668,0.0643423374193668,1734,"tags=46%, list=16%, signal=39%","PCOLCE/P3H1/P3H2/TLL1/COL27A1/COL16A1/COL9A1/COL5A2/COL26A1/ADAMTS2/COL4A3/COL8A2/COL3A1/COL11A1/COL14A1/COL4A4/COL21A1/COL22A1/COL6A5/COLGALT2/COL2A1/COL24A1/ADAMTS3/PCOLCE2/COL19A1",0.45505986738723
"R-HSA-390522","R-HSA-390522","Striated Muscle Contraction",16,-0.719182813303643,-1.8017590324543,0.00200297159946967,0.0675764465821076,0.0675764465821076,1756,"tags=56%, list=16%, signal=47%","TNNI2/ACTN2/TPM2/MYBPC3/TMOD1/TTN/TNNI1/TNNT2/TNNT3",0.431707695803346
