"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"R-HSA-9854311","R-HSA-9854311","Maturation of TCA enzymes and regulation of TCA cycle",16,0.63149331015223,1.81585410385353,0.00839585862961179,0.132188129757332,0.132188129757332,3106,"tags=75%, list=29%, signal=53%","SDHAF2/SDHD/CS/SDHB/SDHC/ISCU/ACAT1/SIRT3/ISCA2/ISCA1/SDHAF4/FXN",0.380730400722792
"R-HSA-71240","R-HSA-71240","Tryptophan catabolism",12,-0.73454506038299,-1.7176690991748,0.00870322504304721,0.132404730727634,0.132404730727634,1854,"tags=58%, list=17%, signal=48%","ACMSD/KYNU/SLC36A4/KMO/IDO1/IDO2/TDO2",0.380730400722792
"R-HSA-1980145","R-HSA-1980145","Signaling by NOTCH2",24,0.55024429140972,1.69130337190962,0.00886196650632515,0.132404730727634,0.132404730727634,825,"tags=33%, list=8%, signal=31%","NEURL1B/MAML1/NOTCH2NLA/HES1/HES5/GZMB/APH1A/UBC",0.380730400722792
"R-HSA-112382","R-HSA-112382","Formation of RNA Pol II elongation complex",38,0.477942711276293,1.68285035785158,0.00887681680954499,0.132404730727634,0.132404730727634,5,"tags=3%, list=0%, signal=3%","GTF2H2",0.380730400722792
"R-HSA-75955","R-HSA-75955","RNA Polymerase II Transcription Elongation",38,0.477942711276293,1.68285035785158,0.00887681680954499,0.132404730727634,0.132404730727634,5,"tags=3%, list=0%, signal=3%","GTF2H2",0.380730400722792
"R-HSA-5668541","R-HSA-5668541","TNFR2 non-canonical NF-kB pathway",55,-0.48067900920516,-1.51083002502864,0.00863775574699316,0.132404730727634,0.132404730727634,1505,"tags=29%, list=14%, signal=25%","TNFRSF18/TNFRSF25/TNF/BIRC3/PSMD14/TNFSF13B/TNFRSF4/CD27/TNFRSF8/TNFSF4/TNFSF8/EDARADD/TNFRSF9/LTB/TNFSF18/TNFSF11",0.380730400722792
"R-HSA-9663891","R-HSA-9663891","Selective autophagy",57,0.41194584765652,1.54033536373156,0.00955707977380717,0.141066479577966,0.141066479577966,2812,"tags=47%, list=26%, signal=35%","CSNK2B/PRKAG1/DYNLL1/VDAC2/HSPA8/PLIN2/UBC/TUBB2A/VDAC1/PRKAB2/TBK1/ATG9A/MFN2/VDAC3/ATG5/EPAS1/PGAM5/TUBB4B/CFTR/RPS27A/PINK1/UBE2D2/TOMM6/TOMM5/TOMM20/TUBA1C/ATG12",0.380730400722792
"R-HSA-204005","R-HSA-204005","COPII-mediated vesicle transport",51,0.431985566431822,1.61822437150079,0.0100071348130237,0.146186701340769,0.146186701340769,2890,"tags=45%, list=27%, signal=33%","YKT6/RAB1B/SEC24D/SAR1B/RAB1A/SEC13/AREG/SEC23A/TMED10/USO1/SEC24A/SEC22B/SERPINA1/TFG/LMAN2L/CNIH1/BET1/SEC31A/TMED2/CD59/TGFA/ANKRD28/MCFD2",0.380730400722792
"R-HSA-111471","R-HSA-111471","Apoptotic factor-mediated response",11,0.669945750056042,1.67622908977646,0.0105235489728547,0.150624938328638,0.150624938328638,341,"tags=27%, list=3%, signal=26%","BAK1/CDKN2A/CASP7",0.380730400722792
"R-HSA-179812","R-HSA-179812","GRB2 events in EGFR signaling",11,0.669314656923046,1.67465007137415,0.0105235489728547,0.150624938328638,0.150624938328638,1837,"tags=64%, list=17%, signal=53%","EREG/HBEGF/AREG/EGF/NRAS/EGFR/KRAS",0.380730400722792
"R-HSA-901042","R-HSA-901042","Calnexin/calreticulin cycle",17,0.588364406194897,1.73042366505797,0.0108650052422577,0.153957124282792,0.153957124282792,1118,"tags=47%, list=10%, signal=42%","GANAB/RNF5/RNF103/SEL1L/SYVN1/OS9/UBC/EDEM3",0.380730400722792
"R-HSA-419037","R-HSA-419037","NCAM1 interactions",25,-0.589696334473722,-1.61531277834611,0.0110868470886278,0.155545171530551,0.155545171530551,1382,"tags=48%, list=13%, signal=42%","COL9A1/COL5A2/COL4A3/CACNA1C/CACNA1D/COL3A1/NCAM1/COL4A4/COL6A5/COL2A1/GFRA1/CNTN2",0.380730400722792
"R-HSA-210991","R-HSA-210991","Basigin interactions",12,0.699654775364652,1.80312930891766,0.0112599169029453,0.156424531877191,0.156424531877191,2154,"tags=67%, list=20%, signal=53%","MMP1/ATP1B1/ATP1B3/ITGA6/SLC16A1/ITGB1/PPIA/SLC7A8",0.380730400722792
"R-HSA-109606","R-HSA-109606","Intrinsic Pathway for Apoptosis",29,0.499969625262774,1.64178898568881,0.0116920237782448,0.160850463046339,0.160850463046339,602,"tags=24%, list=6%, signal=23%","SFN/BAK1/PPP3R1/CDKN2A/CASP7/GZMB/DYNLL1",0.380730400722792
"R-HSA-112315","R-HSA-112315","Transmission across Chemical Synapses",146,-0.403352524569391,-1.44741718515653,0.0120617954521915,0.164341963036109,0.164341963036109,2003,"tags=32%, list=19%, signal=27%","GNG11/RIMS1/ADCY6/PPFIA4/GRIK4/TUBA1B/ADCY3/SLC18A3/CACNA2D1/SLC6A12/ACTN2/KIF17/SLC6A11/PRKAR2B/GRIK3/CAMK4/GRIN1/CHRNA1/GNAT3/GABBR2/ADCY5/APBA1/GRIP2/SLC18A2/ADCY4/GNG3/SLC6A13/GLRB/NBEA/GNB4/GRIA1/GRIN2B/SLC22A1/SYT1/DLG2/BCHE/SLC5A7/SLC6A1/GNB3/GRIA4/KCNJ10/TUBB2B/SLC1A3/CAMK2A/GLRA3/HTR3A/SLC1A2",0.380730400722792
"R-HSA-9615710","R-HSA-9615710","Late endosomal microautophagy",25,0.505521312978151,1.6594719698754,0.0131395444411299,0.175082548292074,0.175082548292074,825,"tags=24%, list=8%, signal=22%","HBB/HSPA8/CHMP2B/RNASE1/PLIN2/UBC",0.380730400722792
