"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FAM216B",-1.4855121120252,0.271523301077529,-2.72548380630771,0.00726696819763602,0.468349573120697,-2.58670437839236
"NOS1",-1.20747946677082,-2.12715138027465,-2.71973844342189,0.00738766223889453,0.469917820358451,-2.82878096784118
"PHLDA2",0.565346893710409,2.98362648156895,2.71788588583552,0.00742696518058177,0.469917820358451,-2.48518466067378
"REL",-0.333161861681365,6.43649922339089,-2.71375875925428,0.00751520683294315,0.469917820358451,-2.50776535288991
"OAF",0.40841342720957,6.72620546660221,2.71284794546116,0.00753480842214714,0.469917820358451,-2.50258953136873
"BMP1",0.476607230272198,4.09932342221797,2.71093086891172,0.0075762172735322,0.469917820358451,-2.51665782629815
"PPIL3",-0.477311629154288,3.68550281301435,-2.7071759427829,0.00765792189114565,0.469917820358451,-2.521443829717
"ITPR3",0.351674234536985,7.28355743052763,2.70578540987356,0.00768838097252251,0.469917820358451,-2.5135218173198
"MPZL2",0.50863592545046,4.70125801695202,2.70227078283982,0.00776585749991403,0.469917820358451,-2.52423067149682
"C4BPA",0.954282801389151,0.555381139692367,2.69935692415218,0.00783062620501101,0.469917820358451,-2.56945173338117
"HECA",0.356051987987442,6.5048138191462,2.69764091831507,0.00786899779270562,0.469917820358451,-2.5364160407338
"MAEA",0.301794265827258,6.11121220307165,2.69722773114792,0.00787826246800703,0.469917820358451,-2.53343242610991
"NAT1",0.552947678922181,4.32374808587054,2.69719453998002,0.00787900712432574,0.469917820358451,-2.52761508625508
"DENND4B",-0.405690133813452,5.02423317369295,-2.69453850244385,0.00793880337293234,0.469917820358451,-2.52828118250526
"PKHD1",-0.704176274480701,0.273955305739621,-2.69226508451905,0.00799031164338943,0.469917820358451,-2.64205409490215
"LRP11",0.494013069643324,3.87661484559606,2.68999409296776,0.00804206683349352,0.469917820358451,-2.54397211375209
"RNF208",-0.56371808585626,1.27498411692696,-2.68923483810225,0.00805943758409798,0.469917820358451,-2.57395358973522
"STAR",-1.55227190017872,-1.35319504038821,-2.68923200840222,0.00805950238738053,0.469917820358451,-2.8170934536397
"CCDC163",0.555981377672632,1.07784852756473,2.68846042678443,0.0080771900739862,0.469917820358451,-2.57935742809699
"TRIM11",0.431268331396758,5.39295953212394,2.6773618112227,0.00833553084498521,0.479947533317263,-2.58536258272968
"CCDC69",-0.529796115009889,6.52132925860944,-2.67722461124106,0.00833877067084718,0.479947533317263,-2.59031227217291
"SEMA3A",-0.594656845081683,2.95409784924909,-2.66927839436552,0.0085283662319279,0.483042678296796,-2.58234139727602
"CEP164",-0.365988637405614,4.71829278291919,-2.66845383297415,0.00854826165437889,0.483042678296796,-2.5871758909949
"AAMP",0.499994319359593,6.65858690652728,2.66831120652071,0.00855170726859473,0.483042678296796,-2.60203421057517
"TSC22D4",0.551932350383475,4.66296080677447,2.66680483292475,0.00858817543550256,0.483042678296796,-2.61186621946259
"ADAMTS3",-0.905838886830739,-0.686203575709015,-2.66448402037025,0.00864463570948987,0.483042678296796,-2.78844042223449
"TBC1D4",-0.41174089667381,5.44416672798712,-2.66158619418062,0.00871560426547365,0.483042678296796,-2.60567861243838
"GUSB",0.436987818722976,5.8393843519351,2.65838753413717,0.00879455120465894,0.483042678296796,-2.61472784986451
"RAB6C",-1.05481191446006,-2.20817207820473,-2.65695529099979,0.00883010968867886,0.483042678296796,-2.90908171049566
"TCL1A",-2.06976609442712,2.65135790764674,-2.65587010549654,0.00885713814561936,0.483042678296796,-2.62020548016703
"CKS1B",0.488255246635269,5.54098512810624,2.65413667271361,0.00890046738167564,0.483042678296796,-2.63880605428542
"SPATS2L",0.368841504595775,7.47605137625433,2.6534828119934,0.00891686107496967,0.483042678296796,-2.63294785000092
"SMAGP",0.429371916726774,4.650500741557,2.6520924213967,0.00895181182813931,0.483042678296796,-2.62241386642997
"FAIM2",-0.975452806379067,1.02333734884802,-2.65113360946893,0.00897598584589419,0.483042678296796,-2.65745099657731
"PLAC8",0.53112236478743,7.4470013390699,2.64909501318924,0.00902757988741464,0.483062167013622,-2.64605821713632
"UGP2",0.336266324205435,7.15333179558133,2.64500823412079,0.00913181769752962,0.483062167013622,-2.6586143586201
"TMEM130",-0.952768101012403,-0.439536164324603,-2.6446911472388,0.00913995058351297,0.483062167013622,-2.76405533511239
"CTAGE8",-1.79619111525444,1.06066317484705,-2.64251387324591,0.00919597174263977,0.483062167013622,-2.68296419004882
"TNFSF11",-1.30823053008628,1.08240075608301,-2.64085905597987,0.00923875715455349,0.483062167013622,-2.68052658428699
"RHOC",0.382483207667496,8.37693063075031,2.64059355375285,0.00924563842839414,0.483062167013622,-2.66170962723866
"MFSD5",0.4410893514911,5.00738276612862,2.63759064291393,0.0093237902830584,0.484792052253901,-2.66294853010782
"GPR31",-0.871742310007947,-0.394497924665349,-2.63501862291944,0.00939120129547789,0.485340539246233,-2.7930002492832
