"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","DEG_Status","Regulation"
"VPS52",-2.97365301700671,0.974040766898253,-2.37852275768449,0.018774386601401,0.536769777867341,-3.19181269796796,"Not_Significant","Downregulated_in_UC"
"ZBTB9",1.1343879288311,-0.888152532434392,2.37186614025435,0.0191019340021692,0.538965964846327,-3.21187883847238,"Not_Significant","Upregulated_in_UC"
"HLA-B",-3.61815794299968,5.43777931521653,-2.37031390776622,0.0191790360063312,0.538965964846327,-3.19531428410783,"Not_Significant","Downregulated_in_UC"
"REG1B",-1.35523375034201,8.7184719761008,-2.35977751521123,0.0197097041782528,0.544517630732008,-3.25931450950193,"Not_Significant","Downregulated_in_UC"
"KCNS2",-1.122466100404,-1.63016782140186,-2.35488625035348,0.0199604303065499,0.545264242105066,-3.37624915507203,"Not_Significant","Downregulated_in_UC"
"BACH2",-1.15789228200432,1.77171372714817,-2.32729472728954,0.0214281771234229,0.551629448084123,-3.27228951202118,"Not_Significant","Downregulated_in_UC"
"CR2",-1.51481415632578,5.08911906871444,-2.31710014675026,0.0219940576258337,0.551629448084123,-3.29709662708917,"Not_Significant","Downregulated_in_UC"
"SERPINA9",-2.13859973039162,0.0574418211218082,-2.31477592150015,0.0221248959193317,0.551629448084123,-3.31166399960844,"Not_Significant","Downregulated_in_UC"
"STAP1",-1.14607363117423,2.28233237772793,-2.29863332518893,0.0230526487821737,0.551629448084123,-3.31865815309043,"Not_Significant","Downregulated_in_UC"
"CLDN16",-1.33473468553713,-1.54169593174243,-2.29456497407804,0.0232917891708618,0.551629448084123,-3.4420139134678,"Not_Significant","Downregulated_in_UC"
"GLRA3",-1.17372177520291,-1.85209299851147,-2.28207100379962,0.0240398573138658,0.551629448084123,-3.48082810356956,"Not_Significant","Downregulated_in_UC"
"HEMGN",-1.05807901047895,-1.4638453652063,-2.25029076607109,0.0260383472097975,0.551629448084123,-3.4997512907604,"Not_Significant","Downregulated_in_UC"
"CCR4",-1.01969226482566,0.750477521020721,-2.24145794347914,0.0266189728598222,0.551629448084123,-3.42335707423058,"Not_Significant","Downregulated_in_UC"
"TAC1",1.21190281246892,1.39735380481558,2.24119762817017,0.0266362548677893,0.551629448084123,-3.41975001749878,"Not_Significant","Upregulated_in_UC"
"TMEM108",-1.04058879668028,-0.602813519020668,-2.23753402716824,0.0268805180625119,0.551629448084123,-3.46818687900279,"Not_Significant","Downregulated_in_UC"
"ZBTB22",2.0940589306037,1.14023901012998,2.22855031297269,0.0274877817096427,0.551629448084123,-3.44675387026989,"Not_Significant","Upregulated_in_UC"
"FMO2",-1.06331226358303,-0.506910850852486,-2.22077313878781,0.0280231161663843,0.551629448084123,-3.52499299986229,"Not_Significant","Downregulated_in_UC"
"CXCR5",-1.54558970637363,3.18525601025603,-2.22070333309249,0.0280279620328116,0.551629448084123,-3.46738972279234,"Not_Significant","Downregulated_in_UC"
"MYG1",1.40419513935335,-2.6644878081312,2.21601861102102,0.0283548459115701,0.551629448084123,-3.54477817258684,"Not_Significant","Upregulated_in_UC"
"SPIC",-1.10485855961782,-1.61402044322512,-2.21360622117025,0.0285244659263262,0.551629448084123,-3.56061630042523,"Not_Significant","Downregulated_in_UC"
"NBPF8",-1.16209539500697,2.04699857572766,-2.21284350314411,0.0285782777141908,0.551629448084123,-3.46855953405047,"Not_Significant","Downregulated_in_UC"
"DDR1",1.81634909325094,5.57962790489493,2.18965923378415,0.0302567120239082,0.551946466678485,-3.5861560561744,"Not_Significant","Upregulated_in_UC"
"KCNK12",-1.30219838730853,-0.562671142034137,-2.18455592529795,0.0306374629664977,0.551946466678485,-3.54667435597135,"Not_Significant","Downregulated_in_UC"
"OMD",-1.02924721651648,-1.28249007282561,-2.17384245353584,0.0314503355062965,0.551946466678485,-3.62786040673055,"Not_Significant","Downregulated_in_UC"
"DRGX",-1.33293802991514,-1.32246428898418,-2.16923731224955,0.0318054538121732,0.551946466678485,-3.56566315869131,"Not_Significant","Downregulated_in_UC"
"SELL",-1.15560733350725,4.51773475611966,-2.16492531358052,0.0321411127891411,0.551946466678485,-3.60929092563662,"Not_Significant","Downregulated_in_UC"
"CD72",-1.07607165520898,2.48972107755703,-2.16225803296625,0.0323502749383698,0.551946466678485,-3.55316271333361,"Not_Significant","Downregulated_in_UC"
"IER3",1.1015104266365,-0.756061488859694,2.14503257619093,0.0337296582650373,0.551946466678485,-3.58953485537949,"Not_Significant","Upregulated_in_UC"
"CA1",1.02006491921512,0.266066285403671,2.1205371775901,0.0357786332822202,0.557332381712601,-3.62078521955469,"Not_Significant","Upregulated_in_UC"
"RTP5",-1.21814643698816,-2.1387095519844,-2.11378248552451,0.0363621885202909,0.557332381712601,-3.68059544967675,"Not_Significant","Downregulated_in_UC"
"HPCAL4",-1.04491550477798,-0.969081428707085,-2.11123146812214,0.0365847013933225,0.557332381712601,-3.65659420517775,"Not_Significant","Downregulated_in_UC"
"PSMB9",-2.01616115323008,3.80100171641775,-2.10090626117183,0.0374973405269291,0.557689966090765,-3.65280267406611,"Not_Significant","Downregulated_in_UC"
"PTGDS",-1.08075558312854,3.9682338391688,-2.03622034506978,0.0436722127905835,0.576741136521534,-3.77375615076925,"Not_Significant","Downregulated_in_UC"
"RERGL",-1.02779840699988,-0.955002679465687,-2.02161768013269,0.0451805228872369,0.582368823754888,-3.7899978310483,"Not_Significant","Downregulated_in_UC"
"REG3G",-1.16475634468354,4.02847546884643,-1.99568009281387,0.0479691681127249,0.590499597760951,-3.83939673376664,"Not_Significant","Downregulated_in_UC"
"CAMP",-1.16210635622577,-0.726128662449665,-1.98399689902149,0.0492722711880282,0.590499597760951,-3.83557744685019,"Not_Significant","Downregulated_in_UC"
